customer_id,city,signup_date,age_group,loyalty_tier
C00001,Delhi,2026-01-09,18-25,Platinum
C00002,Chennai,2025-07-10,26-35,Gold
C00003,Hyderabad,2025-03-15,46-60,Silver
C00004,Bangalore,2025-07-29,26-35,Silver
C00005,Chennai,2025-02-09,26-35,Gold
C00006,Bangalore,2025-02-10,36-45,Silver
C00007,Chennai,2026-04-24,18-25,Silver
C00008,Hyderabad,2025-03-23,46-60,Silver
C00009,Chennai,2024-05-28,18-25,Silver
C00010,Hyderabad,2025-10-23,46-60,Silver
C00011,Bangalore,2025-07-15,18-25,Platinum
C00012,Hyderabad,2024-09-01,36-45,Silver
C00013,Mumbai,2025-05-24,26-35,Silver
C00014,Chennai,2026-02-04,36-45,Silver
C00015,Mumbai,2025-10-07,18-25,Gold
C00016,Mumbai,2026-02-01,26-35,Silver
C00017,Delhi,2026-01-09,46-60,Silver
C00018,Bangalore,2025-06-26,36-45,Gold
C00019,Mumbai,2024-05-25,26-35,Gold
C00020,Chennai,2024-07-17,46-60,Silver
C00021,Mumbai,2026-02-14,36-45,Silver
C00022,Mumbai,2026-03-26,36-45,Platinum
C00023,Mumbai,2026-04-18,36-45,Silver
C00024,Hyderabad,2025-11-20,18-25,Gold
C00025,Mumbai,2025-10-03,18-25,Gold
C00026,Bangalore,2025-05-13,18-25,Silver
C00027,Hyderabad,2025-12-15,18-25,Gold
C00028,Hyderabad,2025-01-01,36-45,Gold
C00029,Delhi,2026-01-17,46-60,Gold
C00030,Delhi,2025-05-10,26-35,Silver
C00031,Bangalore,2026-03-05,18-25,Gold
C00032,Hyderabad,2025-05-25,18-25,Silver
C00033,Bangalore,2026-02-04,26-35,Gold
C00034,Chennai,2026-04-18,46-60,Silver
C00035,Chennai,2026-01-22,46-60,Gold
C00036,Bangalore,2025-02-05,18-25,Silver
C00037,Hyderabad,2025-07-03,36-45,Platinum
C00038,Delhi,2025-09-15,46-60,Gold
C00039,Mumbai,2024-08-19,26-35,Silver
C00040,Mumbai,2024-11-22,18-25,Platinum
C00041,Chennai,2024-09-27,46-60,Silver
C00042,Hyderabad,2025-09-14,18-25,Gold
C00043,Delhi,2024-10-18,46-60,Silver
C00044,Delhi,2024-10-23,18-25,Silver
C00045,Mumbai,2025-05-25,26-35,Gold
C00046,Hyderabad,2024-11-12,18-25,Silver
C00047,Delhi,2024-06-18,36-45,Silver
C00048,Hyderabad,2025-04-01,36-45,Gold
C00049,Mumbai,2025-03-05,18-25,Silver
C00050,Hyderabad,2024-11-21,46-60,Gold
C00051,Chennai,2024-10-13,36-45,Platinum
C00052,Delhi,2025-08-01,26-35,Gold
C00053,Delhi,2024-08-18,46-60,Silver
C00054,Delhi,2025-10-26,26-35,Gold
C00055,Mumbai,2025-07-01,36-45,Gold
C00056,Delhi,2026-01-02,46-60,Gold
C00057,Bangalore,2026-02-12,26-35,Silver
C00058,Hyderabad,2025-06-11,36-45,Platinum
C00059,Mumbai,2024-05-16,26-35,Silver
C00060,Hyderabad,2024-11-15,46-60,Gold
C00061,Hyderabad,2025-02-27,18-25,Silver
C00062,Delhi,2025-08-30,36-45,Gold
C00063,Chennai,2025-10-25,26-35,Gold
C00064,Bangalore,2026-04-24,36-45,Gold
C00065,Hyderabad,2024-07-07,18-25,Gold
C00066,Hyderabad,2025-11-05,18-25,Silver
C00067,Chennai,2024-12-06,36-45,Gold
C00068,Mumbai,2024-10-08,46-60,Silver
C00069,Bangalore,2026-02-12,26-35,Gold
C00070,Chennai,2026-01-24,26-35,Silver
C00071,Hyderabad,2025-03-21,36-45,Gold
C00072,Bangalore,2024-06-11,26-35,Platinum
C00073,Mumbai,2025-12-24,18-25,Gold
C00074,Delhi,2025-08-08,18-25,Gold
C00075,Chennai,2025-01-04,18-25,Silver
C00076,Mumbai,2025-04-30,36-45,Silver
C00077,Chennai,2025-11-07,26-35,Gold
C00078,Chennai,2025-09-27,36-45,Silver
C00079,Delhi,2024-05-17,46-60,Gold
C00080,Delhi,2024-11-02,18-25,Silver
C00081,Delhi,2026-02-16,26-35,Platinum
C00082,Delhi,2025-02-01,18-25,Silver
C00083,Delhi,2026-05-11,26-35,Silver
C00084,Chennai,2025-06-05,46-60,Silver
C00085,Mumbai,2025-08-11,18-25,Silver
C00086,Hyderabad,2025-05-18,26-35,Silver
C00087,Delhi,2025-06-19,18-25,Gold
C00088,Mumbai,2025-05-09,36-45,Silver
C00089,Chennai,2025-06-17,46-60,Silver
C00090,Bangalore,2024-09-15,26-35,Silver
C00091,Delhi,2025-07-29,46-60,Silver
C00092,Bangalore,2025-05-30,18-25,Silver
C00093,Bangalore,2025-05-11,26-35,Silver
C00094,Hyderabad,2026-02-19,18-25,Silver
C00095,Mumbai,2026-03-10,36-45,Silver
C00096,Bangalore,2024-09-18,18-25,Silver
C00097,Hyderabad,2024-06-27,46-60,Silver
C00098,Hyderabad,2024-10-06,36-45,Silver
C00099,Hyderabad,2026-01-13,26-35,Silver
C00100,Hyderabad,2025-11-25,36-45,Platinum
C00101,Chennai,2025-04-12,26-35,Platinum
C00102,Hyderabad,2025-06-10,36-45,Silver
C00103,Hyderabad,2025-10-06,36-45,Silver
C00104,Delhi,2026-04-26,46-60,Silver
C00105,Hyderabad,2024-06-04,36-45,Silver
C00106,Mumbai,2025-12-14,18-25,Silver
C00107,Chennai,2025-01-11,46-60,Silver
C00108,Bangalore,2025-03-20,26-35,Silver
C00109,Bangalore,2024-12-26,46-60,Silver
C00110,Chennai,2026-03-08,46-60,Silver
C00111,Bangalore,2026-04-17,18-25,Silver
C00112,Chennai,2025-09-20,46-60,Gold
C00113,Delhi,2024-12-30,36-45,Silver
C00114,Mumbai,2026-04-02,18-25,Silver
C00115,Bangalore,2025-11-08,46-60,Silver
C00116,Delhi,2025-06-20,36-45,Silver
C00117,Bangalore,2024-12-09,36-45,Silver
C00118,Chennai,2026-01-10,18-25,Platinum
C00119,Delhi,2025-12-08,46-60,Silver
C00120,Mumbai,2026-05-03,18-25,Silver
C00121,Bangalore,2024-10-27,26-35,Gold
C00122,Chennai,2025-02-07,26-35,Gold
C00123,Delhi,2024-06-14,46-60,Silver
C00124,Hyderabad,2025-05-30,26-35,Gold
C00125,Chennai,2025-12-01,46-60,Silver
C00126,Hyderabad,2026-04-24,36-45,Silver
C00127,Delhi,2025-08-29,46-60,Silver
C00128,Mumbai,2024-06-27,18-25,Platinum
C00129,Chennai,2026-01-06,36-45,Silver
C00130,Delhi,2026-01-01,18-25,Gold
C00131,Bangalore,2024-07-02,18-25,Silver
C00132,Bangalore,2026-05-15,18-25,Silver
