inventory_id,warehouse_id,city,product_id,stock_available,reorder_level
1,W001,Hyderabad,P001,986,44
2,W001,Hyderabad,P002,834,76
3,W001,Hyderabad,P003,663,128
4,W001,Hyderabad,P004,693,118
5,W001,Hyderabad,P005,257,129
6,W001,Hyderabad,P006,250,86
7,W001,Hyderabad,P007,87,89
8,W001,Hyderabad,P008,769,79
9,W001,Hyderabad,P009,537,60
10,W001,Hyderabad,P010,332,71
11,W001,Hyderabad,P011,936,147
12,W001,Hyderabad,P012,261,86
13,W001,Hyderabad,P013,877,122
14,W001,Hyderabad,P014,719,108
15,W001,Hyderabad,P015,545,136
16,W001,Hyderabad,P016,767,63
17,W001,Hyderabad,P017,596,76
18,W001,Hyderabad,P018,318,85
19,W001,Hyderabad,P019,370,121
20,W001,Hyderabad,P020,573,102
21,W001,Hyderabad,P021,591,137
22,W001,Hyderabad,P022,625,119
23,W001,Hyderabad,P023,60,77
24,W001,Hyderabad,P024,785,130
25,W001,Hyderabad,P025,981,125
26,W001,Hyderabad,P026,457,81
27,W001,Hyderabad,P027,328,69
28,W001,Hyderabad,P028,652,145
29,W001,Hyderabad,P029,835,51
30,W001,Hyderabad,P030,790,50
31,W001,Hyderabad,P031,742,88
32,W001,Hyderabad,P032,899,77
33,W001,Hyderabad,P033,328,138
34,W001,Hyderabad,P034,237,76
35,W001,Hyderabad,P035,307,88
36,W001,Hyderabad,P036,833,126
37,W001,Hyderabad,P037,930,100
38,W001,Hyderabad,P038,138,143
39,W001,Hyderabad,P039,609,58
40,W001,Hyderabad,P040,88,102
41,W001,Hyderabad,P041,485,79
42,W001,Hyderabad,P042,979,96
43,W001,Hyderabad,P043,95,71
44,W001,Hyderabad,P044,381,131
45,W001,Hyderabad,P045,856,121
46,W001,Hyderabad,P046,689,45
47,W001,Hyderabad,P047,874,79
48,W001,Hyderabad,P048,238,40
49,W001,Hyderabad,P049,894,92
50,W001,Hyderabad,P050,996,45
51,W001,Hyderabad,P051,175,41
52,W001,Hyderabad,P052,569,48
53,W001,Hyderabad,P053,895,92
54,W001,Hyderabad,P054,957,142
55,W001,Hyderabad,P055,819,70
56,W001,Hyderabad,P056,323,55
57,W001,Hyderabad,P057,382,133
58,W001,Hyderabad,P058,938,113
59,W001,Hyderabad,P059,692,98
60,W001,Hyderabad,P060,642,78
61,W001,Hyderabad,P061,271,57
62,W001,Hyderabad,P062,101,106
63,W001,Hyderabad,P063,191,74
64,W001,Hyderabad,P064,187,87
65,W001,Hyderabad,P065,236,50
66,W001,Hyderabad,P066,316,149
67,W001,Hyderabad,P067,397,56
68,W001,Hyderabad,P068,792,116
69,W001,Hyderabad,P069,321,43
70,W001,Hyderabad,P070,315,87
71,W001,Hyderabad,P071,272,137
72,W001,Hyderabad,P072,210,60
73,W001,Hyderabad,P073,351,103
74,W001,Hyderabad,P074,419,121
75,W001,Hyderabad,P075,550,106
76,W001,Hyderabad,P076,307,50
77,W001,Hyderabad,P077,125,126
78,W001,Hyderabad,P078,161,134
79,W001,Hyderabad,P079,978,43
80,W001,Hyderabad,P080,879,100
81,W001,Hyderabad,P081,469,92
82,W001,Hyderabad,P082,603,64
83,W001,Hyderabad,P083,964,112
84,W001,Hyderabad,P084,497,45
85,W001,Hyderabad,P085,148,96
86,W001,Hyderabad,P086,966,50
87,W001,Hyderabad,P087,629,64
88,W001,Hyderabad,P088,144,97
89,W001,Hyderabad,P089,109,70
90,W001,Hyderabad,P090,679,83
91,W001,Hyderabad,P091,718,133
92,W001,Hyderabad,P092,876,146
93,W001,Hyderabad,P093,60,142
94,W001,Hyderabad,P094,989,78
95,W001,Hyderabad,P095,116,83
96,W001,Hyderabad,P096,918,89
97,W001,Hyderabad,P097,803,65
98,W001,Hyderabad,P098,112,45
99,W001,Hyderabad,P099,479,79
100,W001,Hyderabad,P100,975,94
101,W001,Hyderabad,P101,816,66
102,W001,Hyderabad,P102,771,68
103,W001,Hyderabad,P103,839,122
104,W001,Hyderabad,P104,796,131
105,W001,Hyderabad,P105,774,96
106,W001,Hyderabad,P106,601,94
107,W001,Hyderabad,P107,528,119
108,W001,Hyderabad,P108,205,110
109,W001,Hyderabad,P109,543,118
110,W001,Hyderabad,P110,80,95
111,W001,Hyderabad,P111,586,68
112,W001,Hyderabad,P112,127,83
113,W001,Hyderabad,P113,340,59
114,W001,Hyderabad,P114,899,48
115,W001,Hyderabad,P115,239,133
116,W001,Hyderabad,P116,606,101
117,W001,Hyderabad,P117,645,58
118,W001,Hyderabad,P118,172,86
119,W001,Hyderabad,P119,806,52
120,W001,Hyderabad,P120,639,102
121,W001,Hyderabad,P121,480,45
122,W001,Hyderabad,P122,718,70
123,W001,Hyderabad,P123,65,128
124,W001,Hyderabad,P124,725,141
125,W001,Hyderabad,P125,808,60
126,W001,Hyderabad,P126,485,83
127,W001,Hyderabad,P127,58,98
128,W001,Hyderabad,P128,797,149
129,W001,Hyderabad,P129,330,89
130,W001,Hyderabad,P130,108,123
131,W001,Hyderabad,P131,68,107
132,W001,Hyderabad,P132,411,134
133,W001,Hyderabad,P133,379,77
134,W001,Hyderabad,P134,661,126
135,W001,Hyderabad,P135,705,135
136,W001,Hyderabad,P136,226,122
137,W001,Hyderabad,P137,450,74
138,W001,Hyderabad,P138,169,70
139,W001,Hyderabad,P139,686,63
140,W001,Hyderabad,P140,931,103
141,W001,Hyderabad,P141,771,120
142,W001,Hyderabad,P142,913,79
143,W001,Hyderabad,P143,885,50
144,W001,Hyderabad,P144,77,72
145,W001,Hyderabad,P145,517,46
146,W001,Hyderabad,P146,662,41
147,W001,Hyderabad,P147,541,129
148,W001,Hyderabad,P148,431,51
149,W001,Hyderabad,P149,261,126
150,W001,Hyderabad,P150,426,134
151,W001,Hyderabad,P151,640,107
152,W001,Hyderabad,P152,945,60
153,W001,Hyderabad,P153,224,68
154,W001,Hyderabad,P154,538,64
155,W001,Hyderabad,P155,719,90
