product_id,category,product_name,unit_cost,selling_price,margin_pct
P001,Dairy,Milk Variant 1,74.65,88.78,15.92
P002,Dairy,Milk Variant 2,449.34,661.69,32.09
P003,Dairy,Milk Variant 3,74.68,116.62,35.96
P004,Dairy,Milk Variant 4,295.91,413.43,28.43
P005,Dairy,Milk Variant 5,352.73,434.5,18.82
P006,Dairy,Milk Variant 6,30.65,47.6,35.61
P007,Dairy,Milk Variant 7,324.12,509.76,36.42
P008,Dairy,Milk Variant 8,65.6,96.92,32.32
P009,Dairy,Milk Variant 9,205.9,277.97,25.93
P010,Dairy,Milk Variant 10,111.34,160.12,30.46
P011,Dairy,Cheese Variant 1,437.98,688.72,36.41
P012,Dairy,Cheese Variant 2,460.52,601.79,23.47
P013,Dairy,Cheese Variant 3,248.04,353.04,29.74
P014,Dairy,Cheese Variant 4,419.84,525.13,20.05
P015,Dairy,Cheese Variant 5,495.9,686.61,27.78
P016,Dairy,Cheese Variant 6,391.95,623.99,37.19
P017,Dairy,Cheese Variant 7,93.41,117.45,20.47
P018,Dairy,Cheese Variant 8,438.73,680.71,35.55
P019,Dairy,Cheese Variant 9,76.96,92.79,17.06
P020,Dairy,Cheese Variant 10,307.37,472.98,35.01
P021,Dairy,Butter Variant 1,158.03,220.18,28.23
P022,Dairy,Butter Variant 2,392.07,480.52,18.41
P023,Dairy,Butter Variant 3,386.3,462.36,16.45
P024,Dairy,Butter Variant 4,437.92,513.07,14.65
P025,Dairy,Butter Variant 5,263.89,367.08,28.11
P026,Dairy,Butter Variant 6,414.07,660.19,37.28
P027,Dairy,Butter Variant 7,55.87,75.26,25.76
P028,Dairy,Butter Variant 8,153.73,207.46,25.9
P029,Dairy,Butter Variant 9,222.83,324.78,31.39
P030,Dairy,Butter Variant 10,234.51,279.16,15.99
P031,Dairy,Curd Variant 1,329.48,397.35,17.08
P032,Dairy,Curd Variant 2,391.67,591.88,33.83
P033,Dairy,Curd Variant 3,52.57,63.99,17.85
P034,Dairy,Curd Variant 4,131.46,186.66,29.57
P035,Dairy,Curd Variant 5,30.06,38.55,22.02
P036,Dairy,Curd Variant 6,257.25,359.42,28.43
P037,Dairy,Curd Variant 7,127.37,148.01,13.95
P038,Dairy,Curd Variant 8,196.42,309.67,36.57
P039,Dairy,Curd Variant 9,258.88,407.19,36.42
P040,Dairy,Curd Variant 10,444.48,566.0,21.47
P041,Dairy,Paneer Variant 1,234.16,275.21,14.92
P042,Dairy,Paneer Variant 2,105.75,136.41,22.48
P043,Dairy,Paneer Variant 3,490.79,602.74,18.57
P044,Dairy,Paneer Variant 4,391.65,612.2,36.03
P045,Dairy,Paneer Variant 5,98.13,127.48,23.02
P046,Dairy,Paneer Variant 6,259.16,301.53,14.05
P047,Dairy,Paneer Variant 7,225.95,336.95,32.94
P048,Dairy,Paneer Variant 8,382.38,481.98,20.66
P049,Dairy,Paneer Variant 9,485.8,775.17,37.33
P050,Dairy,Paneer Variant 10,305.95,442.98,30.93
P051,Snacks,Potato Chips Variant 1,75.98,94.5,19.6
P052,Snacks,Potato Chips Variant 2,368.82,555.59,33.62
P053,Snacks,Potato Chips Variant 3,51.31,67.82,24.34
P054,Snacks,Potato Chips Variant 4,160.67,241.4,33.44
P055,Snacks,Potato Chips Variant 5,200.47,313.57,36.07
P056,Snacks,Potato Chips Variant 6,373.51,486.37,23.2
P057,Snacks,Potato Chips Variant 7,184.66,275.69,33.02
P058,Snacks,Potato Chips Variant 8,277.7,322.52,13.9
P059,Snacks,Potato Chips Variant 9,38.32,47.86,19.93
P060,Snacks,Potato Chips Variant 10,165.71,226.96,26.99
P061,Snacks,Nachos Variant 1,125.04,158.67,21.19
P062,Snacks,Nachos Variant 2,33.52,39.8,15.78
P063,Snacks,Nachos Variant 3,199.91,250.69,20.26
P064,Snacks,Nachos Variant 4,241.16,293.55,17.85
P065,Snacks,Nachos Variant 5,20.31,26.38,23.01
P066,Snacks,Nachos Variant 6,106.38,124.04,14.24
P067,Snacks,Nachos Variant 7,194.76,230.24,15.41
P068,Snacks,Nachos Variant 8,232.9,324.29,28.18
P069,Snacks,Nachos Variant 9,82.47,98.71,16.45
P070,Snacks,Nachos Variant 10,76.7,99.47,22.89
P071,Snacks,Popcorn Variant 1,336.98,460.85,26.88
P072,Snacks,Popcorn Variant 2,82.32,98.59,16.5
P073,Snacks,Popcorn Variant 3,53.29,76.68,30.5
P074,Snacks,Popcorn Variant 4,413.37,598.06,30.88
